country,population,gdpPerCapita
United States,345426571,83320.39980792328
China,1419321278,13057.388969828437
Germany,84552242,54298.97411827353
Japan,123753041,33214.9413605117
India,1450935791,2713.4281368071925
United Kingdom,69138192,50554.69197111778
France,66548530,47033.495706065936
Brazil,211998573,10997.196665092646
Italy,59342867,39230.157181317176
Canada,39742430,56417.788242943374
Russia,144820423,14202.69294476512
Mexico,130861007,15413.529562706177
Australia,26713205,67021.16050844517
South Korea,51717590,34049.34375325687
Spain,47910526,34378.87532272136
Indonesia,283487931,5205.477336529011
Netherlands,18228742,62676.29439266846
Turkey,87473805,12730.21106147149
Saudi Arabia,33962757,32565.671862269603
Switzerland,8921981,105184.93594640023
Poland,38539201,21915.944754537075
Taiwan,23213962,34589.44233646975
Belgium,11738763,55814.39884253562
Sweden,10606999,58739.32862631551
Argentina,45696159,13223.430879606314
Ireland,5255017,107329.81453723177
Thailand,71668011,7658.786567971029
Austria,9120813,59302.49858208911
Israel,9387021,56531.67282783324
United Arab Emirates,11027129,47863.41032194328
Norway,5576660,94492.2229434823
Singapore,5832387,90053.69499657686
Philippines,115843670,4070.278505506602
Vietnam,100987686,4612.582171652096
Iran,91567738,5069.263587138082
Bangladesh,173562364,2622.4694657881014
Malaysia,35557673,12529.475705567122
Denmark,5977412,68589.71742285792
Hong Kong,7414909,54859.06839854676
Colombia,52886363,7300.104943877498
South Africa,64007187,5831.110809478317
Romania,19015088,19456.70722112882
Egypt,116538258,2982.6599947975883
Chile,19764771,16886.611031314253
Czech Republic,10735859,30354.34798463728
Finland,5617310,54840.30612517379
Portugal,10425292,28675.359884404195
Kazakhstan,20592571,14410.05108104277
Peru,34217848,8254.697957627259
Algeria,46814308,5698.685111397994
Iraq,46042015,5775.029611540676
New Zealand,5213944,49410.96413770458
Nigeria,232679478,1086.2066658065994
Greece,10047817,24908.49504922313
Qatar,3048423,80266.41971931061
Hungary,9676135,23089.074304978178
Ethiopia,132059767,1553.3118425084
Ukraine,37860221,4990.541391715595
Kuwait,4934507,32505.17224922368
Morocco,38081173,4001.373592142238
Slovakia,5506760,25570.026658143808
Dominican Republic,11427557,11144.6392260393
Ecuador,18135478,6704.648203923823
Puerto Rico,3242204,36321.89707988763
Guatemala,18406359,5978.09702614189
Oman,5281538,20624.10608425046
Bulgaria,6757689,15971.880327727422
Kenya,56432944,1842.9128914486544
Venezuela,28405543,3602.395490204148
Uzbekistan,36361859,2693.921672156531
Costa Rica,5129910,18725.0848455431
Angola,37885849,2431.59391782404
Luxembourg,673036,131576.91416209537
Croatia,3875325,22727.384154877334
Panama,4515577,19343.485893386383
Ivory Coast,31934230,2721.562411243359
Uruguay,3386588,24391.806738817948
Turkmenistan,7494498,10927.483068245532
Serbia,6736216,12154.153014095747
Lithuania,2859110,28389.95351700354
Tanzania,68560157,1161.0971077560398
Azerbaijan,10336577,7618.479502450376
Ghana,34427414,2185.583848964084
DR Congo,109276265,674.9956177583485
Slovenia,2118697,34030.8217739488
Belarus,9056696,7623.972362548108
Myanmar,54500091,1247.8144302548046
Uganda,50015092,1125.8601703661766
Tunisia,12277109,4456.097929895385
Macau,720262,75912.65400645876
Jordan,11552876,4636.94061980757
Cameroon,29123744,1826.8598982328645
Bolivia,12413315,3974.28084278857
Libya,7381023,6533.105234870559
Bahrain,1607049,29115.478121700085
Paraguay,6929153,6612.207870139395
Latvia,1871871,24289.066928223154
Cambodia,17638801,2559.6977935178247
Nepal,29651054,1489.963898079306
Estonia,1360546,31962.168129559752
Honduras,10825703,3450.58422533853
Senegal,18501984,1916.0107370106905
El Salvador,6338193,5574.617245009737
Zimbabwe,16634373,2068.3075941605975
Cyprus,1358282,25194.32636227234
Iceland,393396,84744.12551220653
Georgia,3807670,8631.262688205648
Papua New Guinea,10576502,2998.723018253105
Zambia,21314956,1401.457267845169
Bosnia and Herzegovina,3164253,9189.530672800183
Trinidad and Tobago,1507782,18812.40126225144
Sudan,50448963,532.5183790200009
Guinea,14754785,1724.660847311567
Albania,2791765,9109.291075717332
Armenia,2973840,8543.835579587334
Haiti,11772557,2042.5469165279897
Mozambique,34631766,663.4082708921053
Malta,539607,42136.22136110169
Mongolia,3475540,6313.551275485248
Burkina Faso,23548781,930.069373866953
Mali,24478595,884.9364107703077
Botswana,2521139,8495.366578360019
Benin,14462724,1477.6607781494
Guyana,831087,25482.29006108867
Gabon,2538952,8276.24941314369
Jamaica,2839175,7078.8169098417675
Nicaragua,6916140,2722.472361750919
Niger,27032412,696.053315553196
Chad,20299123,921.0742749822246
Moldova,3034961,6048.183156225072
Yemen,40583164,417.414472661619
Madagascar,31964956,515.0953437883662
Mauritius,1271169,12869.25656620009
North Macedonia,1823009,8707.033262040944
Brunei,462721,33519.11843205733
Republic of the Congo,6332961,2447.6702130330505
Laos,7769819,1955.0004961505535
Bahamas,401283,35859.97911698228
Rwanda,14256567,961.0308007530846
Kyrgyzstan,7186009,1892.427354321432
Tajikistan,10590927,1223.0279747938966
Somalia,19009151,673.5703241033752
Namibia,3030131,4212.689154363293
Malawi,21655286,519.0880415987117
Equatorial Guinea,1892516,5658.076338588418
Mauritania,5169395,2055.9465856255906
Togo,9515236,1033.2901884934856
Montenegro,638479,12547.00624452801
Maldives,527799,13639.662068325251
Barbados,282467,24296.643501718783
South Sudan,11943408,545.6566500951822
Fiji,928784,6245.800961256869
Eswatini,1242822,4091.4950008931287
Liberia,5612817,846.9900230133995
Sierra Leone,8642022,527.4228646953225
Djibouti,1168722,3733.9931994092694
Suriname,634431,6836.04678838203
Aruba,108066,37652.91581070827
Andorra,81938,47560.35050892138
Belize,417072,7902.712241531438
Bhutan,791524,3929.129123058808
Burundi,14047786,218.89570356496031
Central African Republic,5330690,527.136261909809
Cape Verde,524877,5178.35607199401
Gambia,2759988,976.0912003965236
Saint Lucia,179744,14364.87448816094
Lesotho,2337423,1024.6326830873145
Seychelles,130418,16891.840083424067
Guinea-Bissau,2201352,977.12678390371
Antigua and Barbuda,93772,22682.67713176641
San Marino,33581,60569.96515886959
Timor-Leste,1400638,1422.2090218885965
Solomon Islands,819198,2083.7453216438516
Comoros,866628,1640.8424375856769
Grenada,117207,11995.870553806511
Vanuatu,327777,3932.5517043599766
Saint Kitts and Nevis,46843,24208.52635399099
Saint Vincent and the Grenadines,100616,11210.940605867854
Samoa,218019,4696.838348951238
Sao Tome and Principe,235536,3188.472250526459
Dominica,66205,10694.056340155576
Tonga,104175,5577.1538276937845
Micronesia,113160,4277.129727819018
Kiribati,134518,2311.9582509403945
Palau,17695,17406.046905905623
Marshall Islands,37548,8122.935975284969
Nauru,11947,13476.1864903323
Tuvalu,9646,6842.2143893842
Afghanistan,42647492,332.37580301322294
Bermuda,64636,116746.08577263444
British Virgin Islands,39471,37273.77712751134
Cayman Islands,74457,84358.79261855836
Sri Lanka,23103565,3297.6345311643463
Cook Islands,13729,21104.93451817321
Cuba,10979783,13405.900308321212
Eritrea,3535603,674.0852261976246
French Polynesia,281807,20633.487447082574
Palestine,5495443,3477.7724016062034
Greenland,55840,52401.84140401146
North Korea,26498823,572.7097619769753
Kosovo,1684790,5577.814207705412
Lebanon,5805962,6769.43231922634
Liechtenstein,39870,194581.02229746676
Monaco,38631,227073.3994460407
Montserrat,4389,16464.56208703577
Curacao,185482,16579.403041804595
Sint Maarten,43350,36285.14173010381
New Caledonia,292639,32884.60765311527
Pakistan,251269164,1300.5839113190984
Anguilla,14598,31024.544184134815
Syria,24672760,753.6973859835706
Turks and Caicos Islands,46535,24472.09371440851
