,country,number of participants,medal count
1,Afghanistan,6.0,0.0
2,Albania,8.0,2.0
3,Algeria,45.0,3.0
4,American Samoa,2.0,0.0
5,Andorra,2.0,0.0
6,Angola,24.0,0.0
7,Antigua and Barbuda,5.0,0.0
8,Argentina,136.0,19.0
9,Armenia,15.0,4.0
10,Aruba,6.0,0.0
11,Australia,459.0,123.0
12,Austria,78.0,6.0
13,Azerbaijan,48.0,7.0
14,Bahamas,18.0,0.0
15,Bahrain,14.0,4.0
16,Bangladesh,5.0,0.0
17,Barbados,4.0,0.0
18,Belgium,165.0,10.0
19,Belize,1.0,0.0
20,Benin,5.0,0.0
21,Bermuda,8.0,0.0
22,Bhutan,3.0,0.0
23,Bolivia,4.0,0.0
24,Bosnia and Herzegovina,5.0,0.0
25,Botswana,12.0,7.0
26,Brazil,277.0,67.0
27,British Virgin Islands,4.0,0.0
28,Brunei,3.0,0.0
29,Bulgaria,46.0,7.0
30,Burkina Faso,8.0,0.0
31,Burundi,7.0,0.0
33,Cambodia,3.0,0.0
34,Cameroon,6.0,0.0
35,Canada,315.0,57.0
36,Cape Verde,7.0,0.0
37,Cayman Islands,4.0,0.0
38,Central African Republic,4.0,0.0
39,Chad,3.0,0.0
40,Chile,48.0,2.0
41,China,388.0,168.0
42,Chinese Taipei,60.0,8.0
43,Colombia,87.0,4.0
44,Comoros,4.0,0.0
45,Cook Islands,2.0,0.0
46,Costa Rica,6.0,0.0
47,Croatia,73.0,20.0
48,Cuba,61.0,9.0
49,Cyprus,16.0,1.0
50,Czech Republic,110.0,0.0
54,Democratic Republic of the Congo,6.0,0.0
55,Denmark,124.0,42.0
56,Djibouti,7.0,0.0
57,Dominica,4.0,1.0
58,Dominican Republic,58.0,3.0
60,East Timor,4.0,0.0
61,Ecuador,40.0,6.0
62,Egypt,148.0,3.0
63,El Salvador,8.0,0.0
64,Equatorial Guinea,3.0,0.0
65,Eritrea,12.0,0.0
66,Estonia,24.0,0.0
67,Eswatini,3.0,0.0
68,Ethiopia,34.0,4.0
69,Federated States of Micronesia,3.0,0.0
70,Fiji,33.0,14.0
71,Finland,56.0,0.0
72,France,573.0,187.0
73,Gabon,5.0,0.0
74,Georgia,28.0,7.0
75,Germany,428.0,113.0
76,Ghana,8.0,0.0
77,Great Britain,327.0,162.0
78,Greece,100.0,10.0
79,Grenada,6.0,2.0
80,Guam,8.0,0.0
81,Guatemala,16.0,2.0
82,Guinea,24.0,0.0
83,Guinea-Bissau,6.0,0.0
84,Guyana,5.0,0.0
85,Haiti,7.0,0.0
86,Honduras,4.0,0.0
87,Hong Kong,36.0,0.0
89,Hungary,170.0,31.0
91,Iceland,5.0,0.0
92,India,117.0,22.0
93,Individual Neutral Athletes,32.0,0.0
94,Indonesia,29.0,3.0
95,Iran,41.0,0.0
96,Iraq,22.0,0.0
97,Ireland,134.0,9.0
98,Israel,88.0,11.0
99,Italy,402.0,88.0
100,Ivory Coast,11.0,0.0
101,Jamaica,58.0,6.0
102,Japan,403.0,82.0
103,Jordan,12.0,1.0
104,Kazakhstan,79.0,8.0
105,Kenya,72.0,11.0
106,Kiribati,3.0,0.0
108,Kosovo,9.0,2.0
109,Kuwait,9.0,0.0
110,Kyrgyzstan,16.0,6.0
111,Laos,4.0,0.0
112,Latvia,29.0,0.0
113,Lebanon,10.0,0.0
114,Lesotho,3.0,0.0
115,Liberia,8.0,0.0
116,Libya,6.0,0.0
117,Liechtenstein,1.0,0.0
118,Lithuania,51.0,7.0
119,Luxembourg,14.0,0.0
120,Madagascar,7.0,0.0
121,Malawi,3.0,0.0
122,Malaysia,26.0,3.0
123,Maldives,5.0,0.0
124,Mali,23.0,0.0
125,Malta,5.0,0.0
126,Marshall Islands,4.0,0.0
127,Mauritania,2.0,0.0
128,Mauritius,13.0,0.0
129,Mexico,107.0,8.0
130,Moldova,26.0,0.0
131,Monaco,6.0,0.0
132,Mongolia,32.0,1.0
133,Montenegro,19.0,0.0
134,Morocco,59.0,20.0
135,Mozambique,7.0,0.0
136,Myanmar,2.0,0.0
137,Namibia,4.0,0.0
138,Nauru,1.0,0.0
139,Nepal,7.0,0.0
140,Netherlands,273.0,118.0
141,New Zealand,195.0,51.0
142,Nicaragua,7.0,0.0
143,Niger,7.0,0.0
144,Nigeria,88.0,0.0
145,North Korea,16.0,0.0
146,North Macedonia,7.0,0.0
147,Norway,107.0,23.0
148,Oman,4.0,0.0
149,Pakistan,7.0,1.0
150,Palau,3.0,0.0
151,Palestine,8.0,0.0
152,Panama,8.0,1.0
153,Papua New Guinea,7.0,0.0
154,Paraguay,28.0,0.0
155,Peru,26.0,1.0
156,Philippines,22.0,4.0
157,Poland,210.0,28.0
158,Portugal,73.0,5.0
159,Puerto Rico,51.0,2.0
160,Qatar,14.0,1.0
161,Refugee Olympic Team,37.0,0.0
163,Republic of the Congo,4.0,0.0
164,Romania,106.0,21.0
165,Rwanda,8.0,0.0
166,Saint Kitts and Nevis,3.0,0.0
167,Saint Lucia,4.0,2.0
168,Saint Vincent and the Grenadines,4.0,0.0
169,Samoa,24.0,0.0
170,San Marino,5.0,0.0
171,Saudi Arabia,9.0,0.0
172,Senegal,11.0,0.0
173,Serbia,113.0,29.0
174,Seychelles,3.0,0.0
175,Sierra Leone,4.0,0.0
176,Singapore,23.0,1.0
177,Slovakia,28.0,1.0
178,Slovenia,90.0,3.0
179,Solomon Islands,2.0,0.0
180,Somalia,1.0,0.0
181,South Africa,149.0,22.0
182,South Korea,141.0,0.0
183,South Sudan,14.0,0.0
184,Spain,383.0,83.0
185,Sri Lanka,6.0,0.0
186,Sudan,4.0,0.0
187,Suriname,5.0,0.0
188,Sweden,118.0,16.0
189,Switzerland,127.0,10.0
190,Syria,6.0,0.0
191,São Tomé and Príncipe,3.0,0.0
192,Tajikistan,14.0,3.0
193,Tanzania,7.0,0.0
194,Thailand,51.0,6.0
195,The Gambia,7.0,0.0
196,Togo,5.0,0.0
197,Tonga,4.0,0.0
198,Trinidad and Tobago,18.0,0.0
199,Tunisia,27.0,3.0
200,Turkey,101.0,0.0
201,Turkmenistan,6.0,0.0
202,Tuvalu,2.0,0.0
204,Uganda,24.0,2.0
205,Ukraine,140.0,16.0
206,United Arab Emirates,13.0,0.0
207,United States,592.0,330.0
208,Uruguay,25.0,0.0
209,Uzbekistan,86.0,13.0
210,Vanuatu,6.0,0.0
211,Venezuela,33.0,0.0
212,Vietnam,16.0,0.0
213,Virgin Islands,5.0,0.0
214,Yemen,4.0,0.0
215,Zambia,27.0,1.0
216,Zimbabwe,7.0,0.0
